product name,product url,product price,review,number of reviews,ASIN,product description,manufacturer,description
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-1,"₹1,299",4.1 out of 5 stars,"51,350",B07CJCGM1M,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No;Outer Material: Polyester, Color: Black;Water Resistance: Water resistant , not Waterproof;Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters;Number of Wheels: 0, Number of compartments: 3;Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of;Mesh pockets on both sides to accommodate your sipper or bottle and umbrella;Mesh Padding on back & shoulder strap to provide comfort & better back support",,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK)
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-2,₹565,4.3 out of 5 stars,"9,219",B084JGJ8PF,"30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.;Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.;Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.;Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks;1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty;Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.",,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black)
Skybags Brat Black 46 Cms Casual Backpack,https://amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-3,₹669,4.1 out of 5 stars,"3,364",B08Z1HHHTD,"Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,",VIP Industries Ltd,Skybags Brat Black 46 Cms Casual Backpack
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-4,₹499,3.9 out of 5 stars,461,B09TPX22NF,Material: Water Resistant Light-Weight Polyester;Compartments: 2 with padding; Laptop Size: 15.6 inch and below;Dimensions: LxWxH - 12.5 x 7.5 x 19 inches;Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders;Closure Type: Zipper,ADISA,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue)
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",https://amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-5,₹999,,,B07QN4KXWG,"Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.;Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls;Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.;Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.;Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.",AirCase,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather"
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-6,₹356,4.1 out of 5 stars,"7,623",B088XB5XY8,"Made of multi-coated 600D polyester Material ; Water Repellent;Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters;Small Size backpack; Laptop Compatibility: No;This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more;With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books;6 months limited warranty",,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",https://amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-7,₹699,3.9 out of 5 stars,"2,180",B09B29F66W,"HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.;FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access;MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella;COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps;WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects",Safari Industries,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-8,₹798,4.1 out of 5 stars,911,B098QFF5TJ,Laptop bag fits upto 17.3 inch laptop,Wesley,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-9,₹889,4.3 out of 5 stars,"5,313",B07M9BRCQ5,"MATERIAL - We use Highest Quality of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.;Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.;Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment;Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.;Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects",Fur Jaden,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,https://amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675272154&sprefix=ba%2Caps%2C283&sr=8-10,₹249,3.7 out of 5 stars,"5,921",B019HA8AYG,"Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.;Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH);Number of compartments: 1; Compatible Laptop Size : 15.4;Warranty Type: Manufacturer; 1 Year from the date of purchase;Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper",Gear Merchandise PVT LTD,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black
